,mol_id,smiles,pIC50
84,CHEMBL491686,Cc1cc(Nc2ccnc(Nc3cccc(c3)c4nc5ccccc5s4)n2)n[nH]1,5.72
85,CHEMBL453398,Clc1cc(Nc2ncnc3cc(C#C[C@@H]4C[C@H](CN4)OC(=O)N5CCOCC5)sc23)ccc1Oc6ccccn6,6.72
86,CHEMBL593770,COc1cc2c(ncnc2cc1OCCCN3CCN(C)CC3)N(C)c4ccc(c(OC)c4)c5nc6ccccc6s5,5.85
87,CHEMBL596059,COc1cc(ccc1Nc2ncnc3cc(OC)c(OC)cc23)c4nc5ccccc5s4,7.2
88,CHEMBL1081198,FC(F)(F)c1cccc(NC(=O)Nc2cccc(c2)c3cn4ccnc4c(NCc5ccncc5)n3)c1,4.3
89,CHEMBL589826,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCC=C,7.49
90,CHEMBL1093099,Nc1nc(N)c2c(n1)[nH]c3cccc(Sc4ccccc4)c23,4.82
91,CHEMBL1093100,Cc1ccc(Sc2cccc3[nH]c4nc(N)nc(N)c4c23)cc1,4.98
92,CHEMBL1172419,CC(=O)N1N=C(CC1c2ccccc2)c3ccc(Cl)c(Cl)c3,4.54
93,CHEMBL1173014,COc1cccc(\C=C\C(=O)OCCn2c(C)ncc2[N+](=O)[O-])c1,4.86
94,CHEMBL1171822,CC(=O)N1N=C(CC1c2ccc(C)cc2)c3ccc(Cl)c(Cl)c3,4.71
95,CHEMBL1090362,CCN1CCN(CC1)c2ccc(Nc3nccc(n3)c4c(nc5sccn45)c6cccc(NC(=O)Cc7ccccc7)c6)cc2,6.46
96,CHEMBL604485,COc1cc2ncnc(Nc3ccc(c(O)c3)c4nc5ccccc5s4)c2cc1OCCCN6CCN(C)CC6,5.48
97,CHEMBL567873,CCC1=C2C(N=CN=C2Nc3ccc4c(cnn4Cc5ccccc5)c3)N=C1NC(=O)OC[C@@H]6COCCN6,7.48
100,CHEMBL79704,OC(=O)CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)O)[nH]c4ccccc14,5.38
101,CHEMBL326596,COc1ccc2c(NCc3ccccc3)ncnc2c1,7.24
102,CHEMBL52913,Clc1cccc(Nc2ncnc3cc(NC(=O)C=C)ccc23)c1,7.28
103,CHEMBL91484,COc1cc2ncnc(NC3CC3c4ccccc4)c2cc1OCCCN(C)C,6.51
104,CHEMBL31326,CCN(CC)CCCSc1cc2ncnc(Nc3cccc(Br)c3)c2cc1NC(=O)C=C,9.11
105,CHEMBL418906,CC(C)(C)OC(=O)NCCNC(=O)c1ccc(cc1)S(=O)(=O)Oc2ccc(\C=C\[N+](=O)[O-])cc2,5.85
106,CHEMBL555797,Cl.COc1cc2ncnc(Nc3ccc4CCCc4c3)c2cc1OC,6.22
107,CHEMBL147761,Cc1c[nH]c(\C=C\2/C(=O)Nc3cccc(C)c23)c1CCC(=O)O,4.54
108,CHEMBL206003,NCc1cccc(n1)C#Cc2cncnc2Nc3ccc(OCc4cccc(F)c4)c(Cl)c3,7.68
110,CHEMBL32844,CN1CCN(CCCOc2cc3ncnc(Nc4cccc(Br)c4)c3cc2NC(=O)C=C)CC1,8.77
111,CHEMBL207445,COCC[C@H](N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC)C(=O)N,7.3
113,CHEMBL285063,Brc1cccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)c1,8.57
114,CHEMBL433305,C1CCc2c(C1)[nH]c3ncnc(Nc4ccccc4)c23,6.51
115,CHEMBL118205,COc1cc(\C=C(/C#N)\C(=O)N)cc(CSc2oc3ccccc3n2)c1O,5.28
116,CHEMBL555201,Cl.COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OC,7.0
117,CHEMBL419047,COc1cc(\C=C(/C#N)\C(=O)N)cc(CSc2ccc(O)cc2)c1O,5.7
118,CHEMBL75177,Clc1cccc(Nc2ncnc3[nH]c4CCCCc4c23)c1,6.92
119,CHEMBL205676,Fc1ccc(Nc2ncnc3Oc4ccc(Cl)cc4CNc23)cc1Cl,6.0
120,CHEMBL204715,COc1ccc2CNc3c(Nc4cccc(Br)c4)ncnc3Oc2c1,5.52
121,CHEMBL203219,Brc1cccc(Nc2ncnc3Oc4ccccc4CNc23)c1,5.09
122,CHEMBL92709,COc1cc2ncnc(Nc3cc(Br)cc(Br)c3)c2cc1OC,6.95
123,CHEMBL289959,N(c1ccccc1)c2ncnc3ccccc23,6.46
124,CHEMBL73406,Cc1[nH]c2ncnc(Nc3cc(Cl)cc(Cl)c3)c2c1C,6.77
125,CHEMBL92936,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+](=O)[O-],7.17
126,CHEMBL113900,CC(C)N(CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1)C(C)C,6.6
127,CHEMBL330323,COc1cc2ncnc(Nc3nccc4ccccc34)c2cc1OC,5.75
128,CHEMBL161226,CNC(=O)c1c(SSc2[nH]c3ccccc3c2C(=O)NC)[nH]c4ccccc14,5.21
129,CHEMBL295961,CNc1ccc2cncnc2c1,8.4
130,CHEMBL205776,CN1CCN(CCCOc2cc(OC3CCOCC3)c4c(Nc5ccc(F)c(Cl)c5)ncnc4c2)CC1,7.18
131,CHEMBL379017,COc1cc(OC2CCN(CC2)S(=O)(=O)C)c3c(Nc4ccc(F)c(Cl)c4)ncnc3c1,5.02
132,CHEMBL203295,COc1cc(OC2CCN(C)CC2)c3c(Nc4ccc(F)c(Cl)c4)ncnc3c1,7.06
133,CHEMBL202411,OCC#CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,7.6
134,CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4,8.51
135,CHEMBL179607,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)C(=C)CN5CCOCC5,7.12
136,CHEMBL121405,OC1(CCNCC1)c2oc(c3ccnc(NC4CCCCC4)c3)c(n2)c5ccc(F)cc5,5.96
137,CHEMBL333231,Clc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,7.58
139,CHEMBL207410,CNC(=O)c1cccc(c1)C#Cc2cncnc2Nc3ccc(OCc4cccc(F)c4)c(Cl)c3,7.1
140,CHEMBL438075,CC(=O)Nc1ccc(cc1)C#Cc2cncnc2Nc3ccc(OCc4cccc(F)c4)c(Cl)c3,4.6
141,CHEMBL436511,CN1CCC(CC1)Oc2cccc3ncnc(Nc4ccc(OCc5cnccn5)c(Cl)c4)c23,6.16
142,CHEMBL202621,Fc1ccc(Nc2ncnc3ccc(NC(=O)C#CCN4CCOCC4)cc23)cc1Cl,7.07
143,CHEMBL91811,CC(C)N(C)CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.07
145,CHEMBL52076,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.0
146,CHEMBL175556,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)\C=C\CN5CCOCC5,7.7
147,CHEMBL380972,COc1cc2CNc3c(Nc4cccc(Br)c4)ncnc3Oc2cc1OC,6.47
148,CHEMBL382186,CS(=O)(=O)Nc1ccc2Oc3ncnc(Nc4cccc(Br)c4)c3NCc2c1,5.39
149,CHEMBL383246,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C4(CCN(CC4)C(C)C)C(=O)N,7.02
150,CHEMBL207130,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C4(CCN(C)CC4)C(=O)N,7.4
151,CHEMBL205235,Nc1cccc(c1)C#Cc2cncnc2Nc3ccc(OCc4cccc(F)c4)c(Cl)c3,7.38
152,CHEMBL74481,Cc1ccc(Nc2ncnc3[nH]c4CCCCc4c23)cc1,6.96
153,CHEMBL431191,COc1cccc(Nc2ncnc3[nH]c4CCCCc4c23)c1,6.07
