,mol_id,smiles,pIC50
51,CHEMBL566003,Cn1cnc(c1)C(=O)c2cc3nccc(Oc4ccc(NC(=O)CC(=O)Nc5ccccc5)cc4F)c3s2,7.6
52,CHEMBL565807,CCn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)C5(CC5)C(=O)Nc6ccccc6)cc4F)c3s2,7.62
53,CHEMBL462232,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)N5CCN(C5=O)c6ccccc6)cc4F)c3s2,7.7
54,CHEMBL591924,COc1ccccc1NC(=O)CC(Nc2ccc(Oc3ccnc4cc(sc34)c5cn(C)cn5)c(F)c2)C(F)(F)F,5.7
55,CHEMBL602704,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(CC(=O)Nc5ccc(F)cc5)C(F)(F)F)cc4F)c3s2,6.4
56,CHEMBL602704,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(CC(=O)Nc5ccc(F)cc5)C(F)(F)F)cc4F)c3s2,7.05
57,CHEMBL602703,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(CC(=O)Nc5ccccc5)C(F)(F)F)cc4F)c3s2,6.22
58,CHEMBL1172957,NS(=O)(=O)c1ccc(Nc2nc(nc3[nH]cnc23)N4CCOCC4)cc1,5.0
59,CHEMBL2170959,COc1ccc(Cc2nnc3ncc(nn23)c4ccc(F)cc4)cc1,6.95
60,CHEMBL3685753,CC1=NC2=C(C(C1[N+]#[C-])c3ccc4n[nH]c(C)c4c3)C(=O)OCC2(C)C,7.55
61,CHEMBL2170947,C(Cn1cc(cn1)c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)N6CCCC6,7.8
62,CHEMBL3685755,Cc1[nH]nc2ccc(cc12)C3C4C(=O)OCC4=NC(=C3[N+]#[C-])C(F)(F)F,8.15
63,CHEMBL3660144,Clc1ncc2nnn(Cc3ccc4ncccc4c3)c2n1,6.78
64,CHEMBL2170954,CCNc1cnc2nnn(Cc3ccc4ncccc4c3)c2n1,8.3
65,CHEMBL2170952,Cc1cnc2nnn(Cc3ccc4ncccc4c3)c2n1,7.09
66,CHEMBL2170812,Fc1ccc(Cn2nnc3ncc(nc23)c4ccc(F)cc4)cc1,5.0
67,CHEMBL3956952,C\C(=N/N1C=C(O)NC1=O)\c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2,8.15
68,CHEMBL3651387,CCO\N=C(/C)\c1ccc2nnc(Cc3ccc4ncccc4c3)n2n1,8.15
69,CHEMBL3651389,C\C(=N/OCCO)\c1ccc2nnc(Cc3ccc4ncccc4c3)n2n1,7.89
70,CHEMBL566253,COc1ccc2c(O[C@H](C)c3nnc4ccc(nn34)c5ccccc5)ccnc2c1,6.63
71,CHEMBL565807,CCn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)C5(CC5)C(=O)Nc6ccccc6)cc4F)c3s2,8.4
72,CHEMBL551458,CN1CCN(CC1)c2ccc(cn2)c3cnc4ccn(c4c3)S(=O)(=O)c5cccc6nonc56,6.09
73,CHEMBL495899,Oc1ccc(Cc2nnc3ncc(cn23)c4ccccc4)cc1,6.21
74,CHEMBL558306,Nc1cnc2ccn(c2c1)S(=O)(=O)c3c(Cl)nc4sccn34,6.24
75,CHEMBL573974,COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(C4=O)c5ccccc5)cc3)c2cc1OC,6.62
76,CHEMBL575712,COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(N5CCCCC5)C4=O)cc3F)c2cc1OC,6.19
77,CHEMBL403747,Fc1cc(NC(=S)NC(=O)Cc2ccccc2)ccc1Oc3ccnc4cc(sc34)c5cocc5,7.13
78,CHEMBL258453,CCn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)c3s2,7.28
